Number,Canonical Name,Display Name,Category,Version,Stability,Supported Markets,Supported Directions,Required Timeframes,Required Indicators,Parameter Count,Source Path,Validation Result,Notes,State Requirements,Session Requirements,Policy Requirements
1,adx_trend_following,ADX Trend Following,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",adx; plus_di; minus_di; ema; atr,6,src/trading_frameworks/trend_following/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,event_consumption
2,atr_volatility_breakout,ATR Volatility Breakout,breakout,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",atr; ema,5,src/trading_frameworks/breakout/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,generic
3,bollinger_mean_reversion,Bollinger Mean Reversion,mean_reversion,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",bollinger_bands; rsi; zscore; adx; atr,8,src/trading_frameworks/mean_reversion/bollinger_mean_reversion.py,Pass,Range-gated band reversion; not a profitability claim.,generic,default,generic
4,bollinger_squeeze_breakout,Bollinger Squeeze Breakout,breakout,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",bollinger_bands; bollinger_band_width; keltner_channel; atr,5,src/trading_frameworks/breakout/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,setup,default,setup;event_consumption
5,donchian_breakout,Donchian Breakout,breakout,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""1h""}",donchian_channel; volume_sma; adx; atr,8,src/trading_frameworks/breakout/donchian_breakout.py,Pass,"A single-entry breakout model, intentionally distinct from Turtle system rules.",generic,default,generic
6,dual_moving_average_crossover,Dual Moving Average Crossover,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",ema; atr,6,src/trading_frameworks/trend_following/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,event_consumption
7,ema_ribbon_trend,EMA Ribbon Trend,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",ema; atr,5,src/trading_frameworks/trend_following/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,generic
8,ichimoku_cloud_trading,Ichimoku Cloud Trading,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""4h""}",ichimoku_cloud; atr,6,src/trading_frameworks/trend_following/ichimoku_cloud.py,Pass,Uses registry-aligned causal spans; displaced chart rendering is not reconstructed.,generic,default,generic
9,inside_bar_breakout,Inside Bar Breakout,price_action,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",atr,5,src/trading_frameworks/price_action/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,setup,default,setup;event_consumption
10,keltner_channel_breakout,Keltner Channel Breakout,breakout,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",keltner_channel; ema; atr,5,src/trading_frameworks/breakout/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,generic
11,macd_momentum,MACD Momentum,momentum,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",macd; ema; adx; atr,8,src/trading_frameworks/momentum/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,event_consumption
12,opening_range_breakout,Opening Range Breakout,breakout,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",atr,7,src/trading_frameworks/breakout/expansion.py,Pass,Generic UTC session opening range; no exchange calendar or unfinished bars.,setup,session-bound,setup;session;event_consumption
13,parabolic_sar_trend,Parabolic SAR Trend,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",parabolic_sar; ema; adx; atr,7,src/trading_frameworks/trend_following/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,event_consumption
14,rsi_pullback_trend,RSI Pullback Trend,momentum,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",rsi; ema; adx; atr,10,src/trading_frameworks/momentum/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,setup,default,setup
15,supertrend_trend_following,SuperTrend Trend Following,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",supertrend; ema; adx; atr,8,src/trading_frameworks/trend_following/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,event_consumption
16,support_resistance_bounce,Support and Resistance Bounce,price_action,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",support_resistance; swing_high_low; atr; rsi,5,src/trading_frameworks/price_action/expansion.py,Pass,"Uses only externally prepared, previously confirmed support/resistance and swing levels.",setup,default,setup;level
17,triple_screen_trading,Triple Screen Trading,multi_timeframe,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""entry"": ""5m"", ""setup"": ""15m"", ""trend"": ""1h""}",ema; macd; rsi; stochastic; force_index; atr,10,src/trading_frameworks/multi_timeframe/triple_screen.py,Pass,Causal interpretation inspired by Alexander Elder's Triple Screen concept.,generic,default,generic
18,turtle_trading,Turtle Trading,trend_following,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""1d""}",donchian_channel; atr,9,src/trading_frameworks/trend_following/turtle.py,Pass,Phase 24.1 interpretation of the published Turtle channel and N-risk concepts.,generic,default,generic
19,vwap_mean_reversion,VWAP Mean Reversion,mean_reversion,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",vwap; vwap_deviation; rsi; atr,7,src/trading_frameworks/mean_reversion/expansion.py,Pass,Canonical cumulative VWAP unless rolling input is explicitly prepared; no assumed reset.,generic,default,generic
20,zscore_mean_reversion,Z-Score Mean Reversion,mean_reversion,1.0.0,stable,crypto_spot; crypto_perpetual; forex; equities,long; short,"{""execution"": ""15m""}",zscore; ema; atr,7,src/trading_frameworks/mean_reversion/expansion.py,Pass,Completed-bar causal reference implementation; requires later market research.,generic,default,generic
